Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Postal Code,Product ID,Sales,Quantity,Discount,Profit
13,CA-2017-114412,2017-04-15,2017-04-20,Standard Class,AA-10480,Consumer,28027,OFF-PA-10002365,15.552000000000003,3,0.2,5.4432
14,CA-2016-161389,2016-12-05,2016-12-10,Standard Class,IM-15070,Consumer,98103,OFF-BI-10003656,407.97600000000006,3,0.2,132.59219999999993
15,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,Home Office,76106,OFF-AP-10002311,68.80999999999999,5,0.8,-123.858
16,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,Home Office,76106,OFF-BI-10000756,2.5439999999999996,3,0.8,-3.8160000000000016
17,CA-2014-105893,2014-11-11,2014-11-18,Standard Class,PK-19075,Consumer,53711,OFF-ST-10004186,665.88,6,0.0,13.317599999999999
18,CA-2014-167164,2014-05-13,2014-05-15,Second Class,AG-10270,Consumer,84084,OFF-ST-10000107,55.5,2,0.0,9.989999999999995
19,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Consumer,94109,OFF-AR-10003056,8.56,2,0.0,2.4823999999999993
20,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Consumer,94109,TEC-PH-10001949,213.48000000000002,3,0.2,16.01099999999998
21,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Consumer,94109,OFF-BI-10002215,22.72,4,0.2,7.383999999999999
22,CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,Corporate,68025,OFF-AR-10000246,19.459999999999997,7,0.0,5.0596
23,CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,Corporate,68025,OFF-AP-10001492,60.339999999999996,7,0.0,15.688400000000001
24,US-2017-156909,2017-07-16,2017-07-18,Second Class,SF-20065,Consumer,19140,FUR-CH-10002774,71.37199999999999,2,0.3,-1.0196000000000005
25,CA-2015-106320,2015-09-25,2015-09-30,Standard Class,EB-13870,Consumer,84057,FUR-TA-10000577,1044.6299999999999,3,0.0,240.2649
26,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,Consumer,90049,OFF-BI-10001634,11.648000000000001,2,0.2,4.2224
27,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,Consumer,90049,TEC-AC-10003027,90.57000000000001,3,0.0,11.774100000000004
28,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,19140,FUR-BO-10004834,3083.4300000000003,7,0.5,-1665.0522
29,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,19140,OFF-BI-10000474,9.618000000000002,2,0.7,-7.0532
30,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,19140,FUR-FU-10004848,124.20000000000002,3,0.2,15.524999999999991
31,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,19140,OFF-EN-10001509,3.2640000000000002,2,0.2,1.1015999999999997
32,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,19140,OFF-AR-10004042,86.304,6,0.2,9.709199999999989
33,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,19140,OFF-BI-10001525,6.858000000000001,6,0.7,-5.715
34,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,19140,OFF-AR-10001683,15.76,2,0.2,3.5460000000000007
35,CA-2017-107727,2017-10-19,2017-10-23,Second Class,MA-17560,Home Office,77095,OFF-PA-10000249,29.472,3,0.2,9.946799999999998
36,CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,Corporate,75080,TEC-PH-10004977,1097.5440000000003,7,0.2,123.4736999999999
37,CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,Corporate,75080,FUR-FU-10003664,190.92,5,0.6,-147.96300000000002
38,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Home Office,77041,OFF-EN-10002986,113.328,9,0.2,35.415
39,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Home Office,77041,FUR-BO-10002545,532.3992,3,0.32,-46.97640000000001
40,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Home Office,77041,FUR-CH-10004218,212.058,3,0.3,-15.146999999999991
41,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Home Office,77041,TEC-PH-10000486,371.168,4,0.2,41.75639999999996
42,CA-2017-120999,2017-09-10,2017-09-15,Standard Class,LC-16930,Corporate,60540,TEC-PH-10004093,147.168,4,0.2,16.556399999999996
43,CA-2016-101343,2016-07-17,2016-07-22,Standard Class,RA-19885,Corporate,90049,OFF-ST-10003479,77.88,2,0.0,3.8939999999999912
44,CA-2017-139619,2017-09-19,2017-09-23,Standard Class,ES-14080,Corporate,32935,OFF-ST-10003282,95.616,2,0.2,9.56160000000001
45,CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,Corporate,55122,TEC-AC-10000171,45.98,2,0.0,19.7714
46,CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,Corporate,55122,OFF-BI-10003291,17.46,2,0.0,8.206199999999999
47,CA-2014-146703,2014-10-20,2014-10-25,Second Class,PO-18865,Consumer,48185,OFF-ST-10001713,211.96,4,0.0,8.478399999999993
48,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,Consumer,19901,TEC-AC-10002167,45.0,3,0.0,4.950000000000001
49,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,Consumer,19901,TEC-PH-10003988,21.8,2,0.0,6.104000000000001
50,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Consumer,47150,OFF-BI-10004410,38.22,6,0.0,17.9634
51,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Consumer,47150,OFF-LA-10002762,75.17999999999999,6,0.0,35.334599999999995
52,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Consumer,47150,FUR-FU-10001706,6.16,2,0.0,2.9568
53,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Consumer,47150,FUR-CH-10003061,89.99,1,0.0,17.098099999999988
54,CA-2016-105816,2016-12-11,2016-12-17,Standard Class,JM-15265,Corporate,10024,OFF-FA-10000304,15.260000000000002,7,0.0,6.256600000000001
55,CA-2016-105816,2016-12-11,2016-12-17,Standard Class,JM-15265,Corporate,10024,TEC-PH-10002447,1029.95,5,0.0,298.6855
56,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Consumer,12180,OFF-ST-10000604,208.56,6,0.0,52.139999999999986
57,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Consumer,12180,OFF-PA-10001569,32.400000000000006,5,0.0,15.552000000000001
58,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Consumer,12180,FUR-CH-10003968,319.41,5,0.1,7.098000000000006
59,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Consumer,12180,OFF-PA-10000587,14.56,2,0.0,6.9888
60,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Consumer,12180,TEC-AC-10002167,30.0,2,0.0,3.3000000000000007
61,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Consumer,12180,OFF-BI-10001460,48.480000000000004,4,0.2,16.362
62,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Consumer,12180,OFF-AR-10001868,1.68,1,0.0,0.84
63,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Consumer,90004,TEC-AC-10004633,13.98,2,0.0,6.151200000000001
64,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Consumer,90004,OFF-BI-10001078,25.824,6,0.2,9.3612
65,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Consumer,90004,OFF-PA-10003892,146.73,3,0.0,68.9631
66,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Consumer,90004,FUR-FU-10000397,79.76,4,0.0,22.332800000000006
67,US-2015-164175,2015-04-30,2015-05-05,Standard Class,PS-18970,Home Office,60610,FUR-CH-10001146,213.11499999999998,5,0.3,-15.22250000000001
68,CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,Corporate,85234,OFF-AR-10002671,1113.0240000000001,8,0.2,111.30239999999998
69,CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,Corporate,85234,TEC-PH-10002726,167.96800000000002,4,0.2,62.988
70,CA-2016-119823,2016-06-04,2016-06-06,First Class,KD-16270,Consumer,22153,OFF-PA-10000482,75.88,2,0.0,35.663599999999995
71,CA-2016-106075,2016-09-18,2016-09-23,Standard Class,HM-14980,Consumer,10009,OFF-BI-10004654,4.616,1,0.2,1.7309999999999999
72,CA-2017-114440,2017-09-14,2017-09-17,Second Class,TB-21520,Consumer,49201,OFF-PA-10004675,19.049999999999997,3,0.0,8.763
73,US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,Consumer,38109,FUR-CH-10000513,831.9360000000001,8,0.2,-114.39120000000003
74,US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,Consumer,38109,FUR-FU-10003708,97.04,2,0.2,1.2129999999999974
75,US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,Consumer,38109,OFF-ST-10004123,72.784,1,0.2,-18.196
76,US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,Corporate,77041,OFF-BI-10004182,1.2479999999999998,3,0.8,-1.9344000000000006
77,US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,Corporate,77041,FUR-FU-10000260,9.708,3,0.6,-5.8248000000000015
78,US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,Corporate,77041,OFF-ST-10000615,27.240000000000002,3,0.2,2.724000000000002
79,US-2014-147606,2014-11-26,2014-12-01,Second Class,JE-15745,Consumer,77070,FUR-FU-10003194,19.3,5,0.6,-14.475000000000001
80,CA-2016-127208,2016-06-12,2016-06-15,First Class,SC-20770,Corporate,35601,OFF-AP-10002118,208.16,1,0.0,56.20320000000001
81,CA-2016-127208,2016-06-12,2016-06-15,First Class,SC-20770,Corporate,35601,OFF-BI-10002309,16.740000000000002,3,0.0,8.0352
82,CA-2014-139451,2014-10-12,2014-10-16,Standard Class,DN-13690,Consumer,94122,OFF-AR-10002053,14.9,5,0.0,4.172000000000001
83,CA-2014-139451,2014-10-12,2014-10-16,Standard Class,DN-13690,Consumer,94122,OFF-ST-10002370,21.39,1,0.0,6.203099999999999
84,CA-2015-149734,2015-09-03,2015-09-08,Standard Class,JC-16105,Corporate,27707,OFF-EN-10000927,200.98400000000004,7,0.2,62.807499999999976
85,US-2017-119662,2017-11-13,2017-11-16,First Class,CS-12400,Home Office,60623,OFF-ST-10003656,230.376,3,0.2,-48.9549
86,CA-2017-140088,2017-05-28,2017-05-30,Second Class,PO-18865,Consumer,29203,FUR-CH-10000863,301.96,2,0.0,33.215599999999995
87,CA-2017-155558,2017-10-26,2017-11-02,Standard Class,PG-18895,Consumer,55901,TEC-AC-10001998,19.99,1,0.0,6.796599999999998
88,CA-2017-155558,2017-10-26,2017-11-02,Standard Class,PG-18895,Consumer,55901,OFF-LA-10000134,6.16,2,0.0,2.9568
89,CA-2016-159695,2016-04-05,2016-04-10,Second Class,GM-14455,Home Office,77095,OFF-ST-10003442,158.36800000000002,7,0.2,13.857199999999999
90,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,Corporate,90036,OFF-AR-10004930,20.1,3,0.0,6.632999999999998
91,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,Corporate,90036,TEC-PH-10004093,73.584,2,0.2,8.278199999999998
92,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,Corporate,90036,OFF-PA-10000304,6.48,1,0.0,3.1104000000000003
93,CA-2015-149587,2015-01-31,2015-02-05,Second Class,KB-16315,Consumer,55407,OFF-PA-10003177,12.96,2,0.0,6.2208000000000006
94,CA-2015-149587,2015-01-31,2015-02-05,Second Class,KB-16315,Consumer,55407,FUR-FU-10003799,53.34,3,0.0,16.535399999999996
95,CA-2015-149587,2015-01-31,2015-02-05,Second Class,KB-16315,Consumer,55407,OFF-BI-10002852,32.96,2,0.0,16.1504
96,US-2017-109484,2017-11-06,2017-11-12,Standard Class,RB-19705,Home Office,97206,OFF-BI-10004738,5.682000000000001,1,0.7,-3.7880000000000003
97,CA-2017-161018,2017-11-09,2017-11-11,Second Class,PN-18775,Home Office,10009,FUR-FU-10000629,96.53,7,0.0,40.5426
98,CA-2017-157833,2017-06-17,2017-06-20,First Class,KD-16345,Consumer,94122,OFF-BI-10001721,51.312,3,0.2,17.9592
99,CA-2016-149223,2016-09-06,2016-09-11,Standard Class,ER-13855,Corporate,55106,OFF-AP-10000358,77.88,6,0.0,22.585199999999993
100,CA-2016-158568,2016-08-29,2016-09-02,Standard Class,RB-19465,Home Office,60610,OFF-PA-10003256,64.624,7,0.2,22.618399999999994
101,CA-2016-158568,2016-08-29,2016-09-02,Standard Class,RB-19465,Home Office,60610,TEC-AC-10001767,95.97600000000001,3,0.2,-10.79730000000001
102,CA-2016-158568,2016-08-29,2016-09-02,Standard Class,RB-19465,Home Office,60610,OFF-BI-10002609,1.7879999999999996,3,0.8,-3.0396
103,CA-2016-129903,2016-12-01,2016-12-04,Second Class,GZ-14470,Consumer,55901,OFF-PA-10004040,23.92,4,0.0,11.7208
104,US-2015-156867,2015-11-13,2015-11-17,Standard Class,LC-16870,Consumer,80013,TEC-AC-10001552,238.89600000000002,6,0.2,-26.875800000000012
105,US-2015-156867,2015-11-13,2015-11-17,Standard Class,LC-16870,Consumer,80013,FUR-FU-10004006,102.35999999999999,3,0.2,-3.8385000000000105
106,US-2015-156867,2015-11-13,2015-11-17,Standard Class,LC-16870,Consumer,80013,OFF-BI-10002794,36.882000000000005,3,0.7,-25.8174
107,CA-2017-119004,2017-11-23,2017-11-28,Standard Class,JM-15250,Consumer,28205,TEC-AC-10003499,74.11200000000001,8,0.2,17.6016
108,CA-2017-119004,2017-11-23,2017-11-28,Standard Class,JM-15250,Consumer,28205,TEC-PH-10002844,27.992000000000004,1,0.2,2.0993999999999993
109,CA-2017-119004,2017-11-23,2017-11-28,Standard Class,JM-15250,Consumer,28205,OFF-AR-10000390,3.3040000000000003,1,0.2,1.0737999999999999
110,CA-2015-129476,2015-10-15,2015-10-20,Standard Class,PA-19060,Home Office,60462,TEC-AC-10000844,339.96000000000004,5,0.2,67.99199999999996
111,CA-2017-146780,2017-12-25,2017-12-30,Standard Class,CV-12805,Corporate,10035,FUR-FU-10001934,41.96,2,0.0,10.909600000000001
112,CA-2016-128867,2016-11-03,2016-11-10,Standard Class,CL-12565,Consumer,50322,OFF-AR-10000380,75.96,2,0.0,22.78799999999999
113,CA-2016-128867,2016-11-03,2016-11-10,Standard Class,CL-12565,Consumer,50322,OFF-BI-10003981,27.240000000000002,6,0.0,13.3476
114,CA-2014-115259,2014-08-25,2014-08-27,Second Class,RC-19960,Consumer,43229,OFF-FA-10000621,40.096000000000004,14,0.2,14.534799999999997
115,CA-2014-115259,2014-08-25,2014-08-27,Second Class,RC-19960,Consumer,43229,OFF-EN-10002600,4.720000000000001,2,0.2,1.6519999999999997
116,CA-2014-115259,2014-08-25,2014-08-27,Second Class,RC-19960,Consumer,43229,OFF-PA-10004965,23.976000000000003,3,0.2,7.492499999999999
117,CA-2014-115259,2014-08-25,2014-08-27,Second Class,RC-19960,Consumer,43229,OFF-EN-10002504,130.464,6,0.2,44.0316
118,CA-2015-110457,2015-03-02,2015-03-06,Standard Class,DK-13090,Consumer,98103,FUR-TA-10001768,787.53,3,0.0,165.38129999999995
119,US-2015-136476,2015-04-05,2015-04-10,Standard Class,GG-14650,Corporate,37620,OFF-BI-10003650,157.79400000000004,1,0.7,-115.7156
120,CA-2016-103730,2016-06-12,2016-06-15,First Class,SC-20725,Consumer,19805,FUR-FU-10002157,47.04,3,0.0,18.345599999999997
121,CA-2016-103730,2016-06-12,2016-06-15,First Class,SC-20725,Consumer,19805,OFF-BI-10003910,30.84,4,0.0,13.878
122,CA-2016-103730,2016-06-12,2016-06-15,First Class,SC-20725,Consumer,19805,OFF-ST-10000777,226.56,6,0.0,63.436800000000005
123,CA-2016-103730,2016-06-12,2016-06-15,First Class,SC-20725,Consumer,19805,OFF-EN-10002500,115.02,9,0.0,51.75899999999999
124,CA-2016-103730,2016-06-12,2016-06-15,First Class,SC-20725,Consumer,19805,TEC-PH-10003875,68.04,7,0.0,19.731599999999997
125,US-2014-152030,2014-12-26,2014-12-28,Second Class,AD-10180,Home Office,77041,FUR-CH-10004063,600.558,3,0.3,-8.579400000000078
126,US-2014-134614,2014-09-20,2014-09-25,Standard Class,PF-19165,Consumer,61701,FUR-TA-10004534,617.7,6,0.5,-407.68200000000013
127,US-2017-107272,2017-11-05,2017-11-12,Standard Class,TS-21610,Consumer,85023,OFF-BI-10003274,2.3880000000000003,2,0.7,-1.8308
128,US-2017-107272,2017-11-05,2017-11-12,Standard Class,TS-21610,Consumer,85023,OFF-ST-10002974,243.99200000000002,7,0.2,30.49899999999998
129,US-2016-125969,2016-11-06,2016-11-10,Second Class,LS-16975,Home Office,90004,FUR-CH-10001146,81.424,2,0.2,-9.160199999999996
130,US-2016-125969,2016-11-06,2016-11-10,Second Class,LS-16975,Home Office,90004,FUR-FU-10003773,238.56,3,0.0,26.241599999999977
131,US-2017-164147,2017-02-02,2017-02-05,First Class,DW-13585,Corporate,43229,TEC-PH-10002293,59.96999999999999,5,0.4,-11.993999999999993
132,US-2017-164147,2017-02-02,2017-02-05,First Class,DW-13585,Corporate,43229,OFF-PA-10002377,78.304,2,0.2,29.363999999999997
133,US-2017-164147,2017-02-02,2017-02-05,First Class,DW-13585,Corporate,43229,OFF-FA-10002780,21.456,9,0.2,6.973199999999998
134,CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,Consumer,95661,OFF-PA-10001804,20.04,3,0.0,9.6192
135,CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,Consumer,95661,OFF-PA-10001736,35.44,1,0.0,16.656799999999997
136,CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,Consumer,95661,OFF-AR-10001149,11.52,4,0.0,3.4559999999999995
137,CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,Consumer,95661,OFF-FA-10002988,4.02,2,0.0,1.9697999999999998
138,CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,Consumer,95661,OFF-BI-10004781,76.176,3,0.2,26.661599999999996
139,CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,Consumer,95661,OFF-SU-10001218,65.88,6,0.0,18.446400000000004
140,CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,Consumer,95661,FUR-FU-10001706,43.120000000000005,14,0.0,20.697599999999998
141,CA-2016-110366,2016-09-05,2016-09-07,Second Class,JD-15895,Corporate,19140,FUR-FU-10004848,82.80000000000001,2,0.2,10.349999999999994
142,CA-2017-106180,2017-09-18,2017-09-23,Standard Class,SH-19975,Corporate,94122,OFF-AR-10000940,8.82,3,0.0,2.3814
143,CA-2017-106180,2017-09-18,2017-09-23,Standard Class,SH-19975,Corporate,94122,OFF-EN-10004030,10.86,3,0.0,5.1042000000000005
144,CA-2017-106180,2017-09-18,2017-09-23,Standard Class,SH-19975,Corporate,94122,OFF-PA-10004327,143.7,3,0.0,68.976
145,CA-2017-155376,2017-12-22,2017-12-27,Standard Class,SG-20080,Consumer,64055,OFF-AP-10001058,839.4300000000001,3,0.0,218.25179999999997
146,CA-2015-110744,2015-09-07,2015-09-12,Standard Class,HA-14920,Consumer,91104,OFF-ST-10003656,671.93,7,0.0,20.157899999999998
147,CA-2014-110072,2014-10-22,2014-10-28,Standard Class,MG-17680,Home Office,43055,FUR-FU-10000521,93.888,4,0.2,12.90959999999999
148,CA-2016-114489,2016-12-05,2016-12-09,Standard Class,JE-16165,Corporate,53132,TEC-PH-10000215,384.45000000000005,11,0.0,103.80150000000003
149,CA-2016-114489,2016-12-05,2016-12-09,Standard Class,JE-16165,Corporate,53132,TEC-PH-10001448,149.97,3,0.0,5.9987999999999815
150,CA-2016-114489,2016-12-05,2016-12-09,Standard Class,JE-16165,Corporate,53132,FUR-CH-10000454,1951.84,8,0.0,585.5519999999999
151,CA-2016-114489,2016-12-05,2016-12-09,Standard Class,JE-16165,Corporate,53132,OFF-BI-10002735,171.55,5,0.0,80.6285
152,CA-2016-158834,2016-03-13,2016-03-16,First Class,TW-21025,Home Office,85254,OFF-AP-10000326,157.92,5,0.2,17.76599999999999
153,CA-2016-158834,2016-03-13,2016-03-16,First Class,TW-21025,Home Office,85254,TEC-PH-10001254,203.184,2,0.2,15.23879999999999
154,CA-2015-124919,2015-05-31,2015-06-02,First Class,SP-20650,Corporate,95123,OFF-PA-10001950,58.379999999999995,7,0.0,26.270999999999994
155,CA-2015-124919,2015-05-31,2015-06-02,First Class,SP-20650,Corporate,95123,OFF-PA-10002254,105.52,4,0.0,48.539199999999994
156,CA-2015-124919,2015-05-31,2015-06-02,First Class,SP-20650,Corporate,95123,OFF-ST-10001590,80.88,6,0.0,21.028799999999997
157,CA-2015-118948,2015-05-28,2015-06-03,Standard Class,NK-18490,Home Office,98105,OFF-AR-10001547,6.63,3,0.0,1.7901
158,CA-2014-104269,2014-03-01,2014-03-06,Second Class,DB-13060,Consumer,98115,FUR-CH-10004063,457.56800000000004,2,0.2,51.47639999999994
159,CA-2016-114104,2016-11-20,2016-11-24,Standard Class,NP-18670,Consumer,73034,OFF-LA-10002475,14.62,2,0.0,6.8713999999999995
160,CA-2016-114104,2016-11-20,2016-11-24,Standard Class,NP-18670,Consumer,73034,TEC-PH-10004536,944.9300000000001,7,0.0,236.23250000000002
161,CA-2016-162733,2016-05-11,2016-05-12,First Class,TT-21070,Consumer,90045,OFF-PA-10002751,5.98,1,0.0,2.691
162,CA-2015-119697,2015-12-28,2015-12-31,Second Class,EM-13960,Consumer,19134,TEC-AC-10003657,54.38400000000001,2,0.2,1.359599999999995
163,CA-2016-154508,2016-11-16,2016-11-20,Standard Class,RD-19900,Consumer,88220,OFF-EN-10001990,28.4,5,0.0,13.347999999999997
164,CA-2016-113817,2016-11-07,2016-11-11,Standard Class,MJ-17740,Consumer,98115,OFF-BI-10004002,27.680000000000003,2,0.2,9.687999999999999
165,CA-2014-139892,2014-09-08,2014-09-12,Standard Class,BM-11140,Consumer,78207,OFF-AR-10004441,9.936,3,0.2,2.7324
166,CA-2014-139892,2014-09-08,2014-09-12,Standard Class,BM-11140,Consumer,78207,TEC-MA-10000822,8159.951999999999,8,0.4,-1359.992000000002
167,CA-2014-139892,2014-09-08,2014-09-12,Standard Class,BM-11140,Consumer,78207,OFF-ST-10000991,275.928,3,0.2,-58.634699999999995
168,CA-2014-139892,2014-09-08,2014-09-12,Standard Class,BM-11140,Consumer,78207,FUR-CH-10004287,1740.0599999999997,9,0.3,-24.858000000000175
169,CA-2014-139892,2014-09-08,2014-09-12,Standard Class,BM-11140,Consumer,78207,OFF-AR-10002656,32.064,6,0.2,6.813599999999997
170,CA-2014-139892,2014-09-08,2014-09-12,Standard Class,BM-11140,Consumer,78207,OFF-AP-10002518,177.97999999999996,5,0.8,-453.84900000000005
171,CA-2014-139892,2014-09-08,2014-09-12,Standard Class,BM-11140,Consumer,78207,TEC-PH-10003931,143.976,3,0.2,8.998500000000007
172,CA-2014-118962,2014-08-05,2014-08-09,Standard Class,CS-12130,Consumer,90004,OFF-PA-10000659,20.94,3,0.0,9.841800000000001
173,CA-2014-118962,2014-08-05,2014-08-09,Standard Class,CS-12130,Consumer,90004,OFF-PA-10001144,110.96,2,0.0,53.260799999999996
174,CA-2014-118962,2014-08-05,2014-08-09,Standard Class,CS-12130,Consumer,90004,FUR-CH-10003817,340.14400000000006,7,0.2,21.259
175,US-2014-100853,2014-09-14,2014-09-19,Standard Class,JB-15400,Corporate,60623,OFF-AP-10000891,52.44799999999999,2,0.8,-131.12000000000003
176,US-2014-100853,2014-09-14,2014-09-19,Standard Class,JB-15400,Corporate,60623,OFF-LA-10003148,20.16,4,0.2,6.551999999999999
177,US-2017-152366,2017-04-21,2017-04-25,Second Class,SJ-20500,Consumer,77036,OFF-AP-10002684,97.26399999999998,4,0.8,-243.16000000000008
178,US-2015-101511,2015-11-21,2015-11-23,Second Class,JE-15745,Consumer,43055,FUR-CH-10004698,396.802,7,0.3,-11.337199999999939
179,US-2015-101511,2015-11-21,2015-11-23,Second Class,JE-15745,Consumer,43055,OFF-SU-10002189,15.88,5,0.2,-3.771500000000001
180,CA-2015-137225,2015-12-15,2015-12-19,Standard Class,JK-15640,Home Office,10009,OFF-AR-10001940,3.28,1,0.0,1.4104
181,CA-2014-166191,2014-12-05,2014-12-09,Second Class,DK-13150,Corporate,62521,OFF-ST-10003455,24.816000000000003,2,0.2,1.8612000000000002
182,CA-2014-166191,2014-12-05,2014-12-09,Second Class,DK-13150,Corporate,62521,TEC-AC-10004659,408.74399999999997,7,0.2,76.63949999999998
183,CA-2014-158274,2014-11-19,2014-11-24,Second Class,RM-19675,Home Office,71203,TEC-PH-10003273,503.96,4,0.0,131.02960000000002
184,CA-2014-158274,2014-11-19,2014-11-24,Second Class,RM-19675,Home Office,71203,TEC-PH-10004896,149.95,5,0.0,41.986000000000004
185,CA-2014-158274,2014-11-19,2014-11-24,Second Class,RM-19675,Home Office,71203,TEC-AC-10002345,29.0,2,0.0,7.25
186,CA-2016-105018,2016-11-28,2016-12-02,Standard Class,SK-19990,Consumer,6824,OFF-BI-10001890,7.16,2,0.0,3.4368
